source,country,club_slug,method,dest_logo,dest_badge,size,sha256,converted_svg_to_png
CHI_PAL.png,chile,palestino,CHI_PAL,assets/clubs/chile/palestino/logo.png,assets/clubs/chile/palestino/badge.png,27069,6f47d76efb4e00fb7e5ce376b9c8aedcabc7eef1115c7525f577900add5522f9,False
CHA.png,brazil,chapecoense,BRA_CHA,assets/clubs/brazil/chapecoense/logo.png,assets/clubs/brazil/chapecoense/badge.png,133354,e88967401f490aea763bdc91b7743cee78f968999bdae8f5a507f5a077e0305c,False
BOT.png,brazil,botafogo,BRA_BOT,assets/clubs/brazil/botafogo/logo.png,assets/clubs/brazil/botafogo/badge.png,33924,897b828cfee6eed505f459fde571d195e1a029271d228d9755255bc045c74768,False
ENG_AVL.png,england,aston-villa,ENG_AVL,assets/clubs/england/aston-villa/logo.png,assets/clubs/england/aston-villa/badge.png,28195,8fcd746bc01241d7152e93d82f9bc9c07f3b3d79a6afb50eeaac9ab274fcd813,False
COL_AMC.png,colombia,america-de-cali,COL_AMC,assets/clubs/colombia/america-de-cali/logo.png,assets/clubs/colombia/america-de-cali/badge.png,20682,f34867e43abab8da36f8c00e5ee3072d3d5b671f9c3957d111e41859f2456044,False
ARG_RAC.png,argentina,racing-club,ARG_RAC,assets/clubs/argentina/racing-club/logo.png,assets/clubs/argentina/racing-club/badge.png,11326,416c6217d06093e75688d57d2e91cf4d9492b32deef1b05913c0d52350f5b4b5,False
GRE.png,brazil,gremio,BRA_GRE,assets/clubs/brazil/gremio/logo.png,assets/clubs/brazil/gremio/badge.png,67910,bc282f55e720d44d3c51b2642b42964c987ae2ff3940cc494b9f4556de30f8e6,False
URU_NAC.png,uruguay,nacional,URU_NAC,assets/clubs/uruguay/nacional/logo.png,assets/clubs/uruguay/nacional/badge.png,25788,600cbab3f7c7917e4e6ad66e8c24bdad38e49974a76b0f6797fbb6a7e5a23118,False
italy_lecce_512x512.football-logos.cc.png,italy,lecce,football-logos.cc filename,assets/clubs/italy/lecce/logo.png,assets/clubs/italy/lecce/badge.png,30776,fab6af04f8683c1575b5e47244d32ed9ecf57bf33272764f835ac5aa0ca26576,False
ENG_NFO.png,england,nottingham-forest,ENG_NFO,assets/clubs/england/nottingham-forest/logo.png,assets/clubs/england/nottingham-forest/badge.png,17292,ebf86f8213dd854c7c81eb9482b10b4176048d5214cc69c7a70d63d1ae300744,False
france_clermont-foot_512x512.football-logos.cc.png,france,clermont,football-logos.cc filename,assets/clubs/france/clermont/logo.png,assets/clubs/france/clermont/badge.png,25454,2570e523f8e6e7935fabbf24e802119d2102369668b7d480adb51003e569073a,False
ENG_MUN.png,england,manchester-united,ENG_MUN,assets/clubs/england/manchester-united/logo.png,assets/clubs/england/manchester-united/badge.png,54566,57168e4615337ebb2283a0f868eda339496eca37a58261c6321af236f313f4aa,False
ARG_ARG.png,argentina,argentinos-juniors,ARG_ARG,assets/clubs/argentina/argentinos-juniors/logo.png,assets/clubs/argentina/argentinos-juniors/badge.png,30348,12fb2699b0115ddd478d7e236d58edebb63a97e88432fc66f33723f6edfd10d1,False
ENG_LIV.png,england,liverpool,ENG_LIV,assets/clubs/england/liverpool/logo.png,assets/clubs/england/liverpool/badge.png,24390,80aca2e4aede10bf8bf7221c0531a7b07ef49a0518858d8ca477511127b8ef85,False
italy_parma_512x512.football-logos.cc.png,italy,parma,football-logos.cc filename,assets/clubs/italy/parma/logo.png,assets/clubs/italy/parma/badge.png,15013,f1de0bf4c39be5fb6a83759b9e79205d521280b01dd56996046c0113bb82f15a,False
italy_monza_512x512.football-logos.cc.png,italy,monza,football-logos.cc filename,assets/clubs/italy/monza/logo.png,assets/clubs/italy/monza/badge.png,30676,733fd51ad20ede5543ca740c61211b9642b24dd151452cca064a19bfb479d250,False
ITA_JUV.png,italy,juventus,ITA_JUV,assets/clubs/italy/juventus/logo.png,assets/clubs/italy/juventus/badge.png,10185,9ae2bd2ba3cb49811c3a2795e8926538706d572d9e88efe5900a1f10af43732e,False
ESP_MAL.png,spain,mallorca,ESP_MAL,assets/clubs/spain/mallorca/logo.png,assets/clubs/spain/mallorca/badge.png,48909,7de52f8b098fe21c608259a11b76f77ae5e2ad8be238c4cb6000ed4a8d87af7b,False
CHI_AUD.png,chile,audax-italiano,CHI_AUD,assets/clubs/chile/audax-italiano/logo.png,assets/clubs/chile/audax-italiano/badge.png,29371,fa92295ef915aa850975389f176a103ba9fa5ac9e292479a676110bb8ca8c680,False
CHI_COL.png,chile,colo-colo,CHI_COL,assets/clubs/chile/colo-colo/logo.png,assets/clubs/chile/colo-colo/badge.png,25595,55b8cfb1c48e87f0e3c5d96ba7d646fed8163057ba31ecede1d1b0fb48c44c3d,False
ESP_FCB.png,spain,barcelona,ESP_FCB,assets/clubs/spain/barcelona/logo.png,assets/clubs/spain/barcelona/badge.png,25681,d839d9aa0a8f4c4f56435788f9a01c5d18010cc6e16b46cabe75b44be711c611,False
URU_TOR.png,uruguay,montevideo-city-torque,URU_TOR,assets/clubs/uruguay/montevideo-city-torque/logo.png,assets/clubs/uruguay/montevideo-city-torque/badge.png,48535,49db5a8a3eed280d514cf29670b189ba8d3cac8044cce276443a80aedaced7b1,False
germany_fc-heidenheim_512x512.football-logos.cc.png,germany,heidenheim,football-logos.cc filename,assets/clubs/germany/heidenheim/logo.png,assets/clubs/germany/heidenheim/badge.png,25341,fba88b04307d3d60c27c93946ce58c0c386eeb6b9257977920a63ebfdfa4c93e,False
GER_EFR.png,germany,eintracht-frankfurt,GER_EFR,assets/clubs/germany/eintracht-frankfurt/logo.png,assets/clubs/germany/eintracht-frankfurt/badge.png,34866,3ea268421b4bf0c7d2d8717bc4546a8f16e2ce3f821b019115e1d655d16acf4b,False
italy_empoli_512x512.football-logos.cc.png,italy,empoli,football-logos.cc filename,assets/clubs/italy/empoli/logo.png,assets/clubs/italy/empoli/badge.png,61201,6a557c0de9c729bdff135788bc0c58b4a54fd6eed7ac2baab56ca3d055a83dd8,False
italy_udinese_512x512.football-logos.cc.png,italy,udinese,football-logos.cc filename,assets/clubs/italy/udinese/logo.png,assets/clubs/italy/udinese/badge.png,45385,79441e6b2d25b68fb572b89e91f0d790a7bc8fe39022e93b1f5cc273c7eea0f6,False
COL_CHI.png,colombia,boyaca-chico,COL_CHI,assets/clubs/colombia/boyaca-chico/logo.png,assets/clubs/colombia/boyaca-chico/badge.png,73029,36c658aaa85f013cf7a3701187310e8bc43d6d260aa31ae9b4c376d55892179d,False
FLU.png,brazil,fluminense,BRA_FLU,assets/clubs/brazil/fluminense/logo.png,assets/clubs/brazil/fluminense/badge.png,51714,fadb8d8e9190e1549362db8c344e49fcb9fa89aad676ec12b95c3749658c196d,False
ituano.svg,brazil,ituano,named-file,assets/clubs/brazil/ituano/logo.png,assets/clubs/brazil/ituano/badge.png,682,bc697d59ebfb831e3792b6702eaf04a00aad4884eec97781472447a4231e3c3f,True
AME.png,brazil,america-mg,BRA_AME,assets/clubs/brazil/america-mg/logo.png,assets/clubs/brazil/america-mg/badge.png,146723,c6fd6cbe8e49d2f5c4a4ca2138bc7fe0e3c354a2ada4544185f97fdc34a41e8f,False
CFC.png,brazil,coritiba,BRA_CFC,assets/clubs/brazil/coritiba/logo.png,assets/clubs/brazil/coritiba/badge.png,15961,89bea740d29ef2119e0b8a0ebd1617e677af77dea6d0a259b387ba0fd989be36,False
COL_AGU.png,colombia,aguilas-doradas,COL_AGU,assets/clubs/colombia/aguilas-doradas/logo.png,assets/clubs/colombia/aguilas-doradas/badge.png,33395,8476138f730c24adeba93ca5a3c026c7070efde68fe4f7846d86f5b0af291f20,False
ESP_RMA.png,spain,real-madrid,ESP_RMA,assets/clubs/spain/real-madrid/logo.png,assets/clubs/spain/real-madrid/badge.png,53504,0eabd125c6bdcdfa03ad66bc541da56f91583f988d5514239ab1eafba8f97d23,False
ECU_LDU.png,ecuador,ldu-quito,ECU_LDU,assets/clubs/ecuador/ldu-quito/logo.png,assets/clubs/ecuador/ldu-quito/badge.png,33753,8cea24344c59e210322950ebed1fedf0fd5baac61f335c44a14ad4b9665ded58,False
ARG_TIG.png,argentina,tigre,ARG_TIG,assets/clubs/argentina/tigre/logo.png,assets/clubs/argentina/tigre/badge.png,8611,7cfdbfd2d4e0e5c247a5fb88cfa6d6ae8e703693b1efab21f0776b5a997c6a14,False
